GET	/api/v2/accounts/{account_id}/reports/conversations	get-account-conversation-metrics	Reports
GET	/api/v2/accounts/{account_id}/reports/conversations/	get-agent-conversation-metrics	Reports
GET	/api/v2/accounts/{account_id}/reports/first_response_time_distribution	get-first-response-time-distribution	Reports
GET	/api/v2/accounts/{account_id}/reports/inbox_label_matrix	get-inbox-label-matrix	Reports
GET	/api/v2/accounts/{account_id}/reports/outgoing_messages_count	get-outgoing-messages-count	Reports
GET	/api/v2/accounts/{account_id}/reports/summary	list-all-conversation-statistics-summary	Reports
GET	/api/v2/accounts/{account_id}/summary_reports/agent	get-agent-summary-report	Reports
GET	/api/v2/accounts/{account_id}/summary_reports/channel	get-channel-summary-report	Reports
GET	/api/v2/accounts/{account_id}/summary_reports/inbox	get-inbox-summary-report	Reports
GET	/api/v2/accounts/{account_id}/summary_reports/team	get-team-summary-report	Reports
GET	/api/v1/accounts/{account_id}/teams	list-all-teams	Teams
POST	/api/v1/accounts/{account_id}/teams	create-a-team	Teams
DELETE	/api/v1/accounts/{account_id}/teams/{team_id}	delete-a-team	Teams
GET	/api/v1/accounts/{account_id}/teams/{team_id}	get-details-of-a-single-team	Teams
PATCH	/api/v1/accounts/{account_id}/teams/{team_id}	update-a-team	Teams
DELETE	/api/v1/accounts/{account_id}/teams/{team_id}/team_members	delete-agent-in-team	Teams
GET	/api/v1/accounts/{account_id}/teams/{team_id}/team_members	get-team-members	Teams
PATCH	/api/v1/accounts/{account_id}/teams/{team_id}/team_members	update-agents-in-team	Teams
POST	/api/v1/accounts/{account_id}/teams/{team_id}/team_members	add-new-agent-to-team	Teams
POST	/platform/api/v1/users	create-a-user	Users
DELETE	/platform/api/v1/users/{id}	delete-a-user	Users
GET	/platform/api/v1/users/{id}	get-details-of-a-user	Users
PATCH	/platform/api/v1/users/{id}	update-a-user	Users
GET	/platform/api/v1/users/{id}/login	get-sso-url-of-a-user	Users
GET	/api/v1/accounts/{account_id}/webhooks	list-all-webhooks	Webhooks
POST	/api/v1/accounts/{account_id}/webhooks	create-a-webhook	Webhooks
DELETE	/api/v1/accounts/{account_id}/webhooks/{webhook_id}	delete-a-webhook	Webhooks
PATCH	/api/v1/accounts/{account_id}/webhooks/{webhook_id}	update-a-webhook	Webhooks
